2026-03-16 20:20:16.921 | INFO | init_start:workmanager-daily-recommendations
2026-03-16 20:20:16.923 | INFO | init_success:workmanager-daily-recommendations
2026-03-16 20:20:16.924 | INFO | init_start:workmanager-deadline-reminders
2026-03-16 20:20:16.926 | INFO | init_success:workmanager-deadline-reminders
2026-03-16 20:20:16.927 | INFO | init_start:sync-scheduler
2026-03-16 20:20:16.938 | INFO | init_success:sync-scheduler
2026-03-16 20:20:16.940 | INFO | init_start:mock-api
2026-03-16 20:20:16.941 | INFO | init_success:mock-api
2026-03-16 20:20:16.942 | INFO | init_start:database
2026-03-16 20:20:16.943 | INFO | init_success:database
2026-03-16 20:20:16.944 | INFO | application_onCreate_complete
2026-03-16 20:20:16.989 | INFO | activity_created:SplashActivity
2026-03-16 20:20:17.042 | INFO | activity_started:SplashActivity
2026-03-16 20:20:17.045 | INFO | activity_resumed:SplashActivity
2026-03-16 20:20:19.075 | INFO | activity_created:MainActivity
2026-03-16 20:20:19.076 | INFO | main_activity_onCreate_start
2026-03-16 20:20:19.099 | ERROR | main_activity_onCreate_failure | android.view.InflateException: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Error inflating class com.google.android.material.bottomnavigation.BottomNavigationView
2026-03-16 20:20:19.106 | ERROR | uncaught_exception_thread:main | java.lang.RuntimeException: Unable to start activity ComponentInfo{com.example.myapplication/com.example.myapplication.MainActivity}: android.view.InflateException: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Error inflating class com.google.android.material.bottomnavigation.BottomNavigationView
2026-03-16 20:20:27.491 | INFO | diagnostics_initialized
2026-03-16 20:20:27.493 | INFO | application_onCreate_start
2026-03-16 20:20:27.499 | INFO | crash_handler_installed
2026-03-16 20:20:27.501 | INFO | init_start:logger
2026-03-16 20:20:27.502 | INFO | init_success:logger
2026-03-16 20:20:27.504 | INFO | init_start:theme
2026-03-16 20:20:27.509 | INFO | init_success:theme
2026-03-16 20:20:27.511 | INFO | init_start:cache
2026-03-16 20:20:27.513 | INFO | init_success:cache
2026-03-16 20:20:27.514 | INFO | init_start:analytics
2026-03-16 20:20:27.520 | INFO | init_success:analytics
2026-03-16 20:20:27.522 | INFO | init_start:notifications
2026-03-16 20:20:27.529 | INFO | init_success:notifications
2026-03-16 20:20:27.530 | INFO | init_start:settings
2026-03-16 20:20:27.532 | INFO | init_success:settings
2026-03-16 20:20:27.533 | INFO | init_start:workmanager-sync
2026-03-16 20:20:27.537 | INFO | init_success:workmanager-sync
2026-03-16 20:20:27.539 | INFO | init_start:workmanager-daily-recommendations
